SOCIEDAD CONCESIONARIA PUENTE DEL EBRO S.A.	2014	1	141267501.88
AYUNTAMIENTO DE ZARAGOZA	2014	41	92239482.38
UNIVERSIDAD DE ZARAGOZA	2014	48	65742361.78
CONSEJO DE COLEGIOS DE ABOGADOS DE ARAGÓN	2014	1	13108910.00
JUNTA DE COMPENSACIÓN SECTOR 89/3	2014	1	10463740.00
CDAD REGANTES 1 CANAL DEL CINCA	2014	6	8980229.04
AGUAS DE LA CUENCA DEL EBRO SA	2014	2	8787708.01
C.R. DE CALLEN	2014	3	6566525.33
FEDERACION ALCER ARAGÓN	2014	2	4500000.00
CONSORCIO EQUIPAMIENTO Y EXPLOTACIÓN LABORATORIO SUBTERRÁNEO DE CANFRANC	2014	2	4310917.00
